 
                                                                                                                                                                                                                                                                
 
 
Variable Summary

          Measurement    Frequency
 Role        Level         Count

INPUT      BINARY             1   
INPUT      INTERVAL           7   
INPUT      NOMINAL           11   
TARGET     BINARY             1   
 
                                                                                                                                                                                                                                                                
 
 

The DMINE Procedure

                 R-Squares for Target Variable: Attrition_Flag
 
Effect                                       DF        R-Square

Class: Customer_Age*Total_Trans_Ct          3E3        0.506088                
Group: Customer_Age*Total_Trans_Ct            5        0.497641                
Class: Months_on_book*Total_Trans_Ct        3E3        0.468532                
Group: Months_on_book*Total_Trans_Ct          5        0.461222                
Class: Total_Relationship_Count*Total_Tr    673        0.413366                
Group: Total_Relationship_Count*Total_Tr      6        0.405532                
Class: Months_Inactive_12_mon*Total_Tran    623        0.325117                
Group: Months_Inactive_12_mon*Total_Tran      7        0.319789                
Class: Contacts_Count_12_mon*Total_Trans    661        0.317346                
Group: Contacts_Count_12_mon*Total_Trans      7        0.312191                
Class: Income_Category*Total_Trans_Ct       698        0.296716                
Group: Income_Category*Total_Trans_Ct         7        0.291388                
Class: Education_Level*Total_Trans_Ct       792        0.288619                
Class: Dependent_count*Total_Trans_Ct       683        0.286456                
Group: Education_Level*Total_Trans_Ct         8        0.284133                
Class: Marital_Status*Total_Trans_Ct        453        0.283644                
Group: Dependent_count*Total_Trans_Ct         7        0.281832                
Group: Marital_Status*Total_Trans_Ct          7        0.278971                
Class: Gender*Total_Trans_Ct                245        0.278969                
Group: Gender*Total_Trans_Ct                  7        0.274168                
Class: Card_Category*Total_Trans_Ct         327        0.259103                
Group: Card_Category*Total_Trans_Ct           7        0.254577                
Class: Total_Trans_Ct                       125        0.239960                
Group: Total_Trans_Ct                         7        0.236101                
AOV16: Total_Trans_Amt                       15        0.205763                
AOV16: Total_Revolving_Bal                   15        0.176095                
AOV16: Total_Ct_Chng_Q4_Q1                   14        0.150658                
Class: Contacts_Count_12_mon*Total_Relat     41        0.133808                
Group: Contacts_Count_12_mon*Total_Relat      5        0.132056                
Class: Months_Inactive_12_mon*Months_on_    251        0.128727                
Group: Months_Inactive_12_mon*Months_on_      9        0.126525                
Class: Contacts_Count_12_mon*Months_Inac     47        0.101805                
Group: Contacts_Count_12_mon*Months_Inac      7        0.100277                
Class: Customer_Age*Months_Inactive_12_m    250        0.085439                
Var:   Total_Ct_Chng_Q4_Q1                    1        0.084131                
Class: Contacts_Count_12_mon*Customer_Ag    271        0.084023                
Group: Customer_Age*Months_Inactive_12_m      9        0.083823                
Class: Contacts_Count_12_mon*Months_on_b    280        0.082980                
Group: Contacts_Count_12_mon*Customer_Ag      9        0.082596                
Group: Contacts_Count_12_mon*Months_on_b      9        0.081688                
AOV16: Avg_Utilization_Ratio                 15        0.079649                
Class: Months_Inactive_12_mon*Total_Rela     40        0.079288                
Group: Months_Inactive_12_mon*Total_Rela      6        0.077879                
Var:   Total_Revolving_Bal                    1        0.069197                
Class: Customer_Age*Months_on_book          674        0.066372                
Group: Customer_Age*Months_on_book           11        0.065275                
Class: Contacts_Count_12_mon*Income_Cate     41        0.063862                
Group: Contacts_Count_12_mon*Income_Cate      7        0.062606                
Class: Contacts_Count_12_mon*Education_L     48        0.062115                
Class: Contacts_Count_12_mon*Dependent_c     41        0.061436                
AOV16: Total_Amt_Chng_Q4_Q1                  13        0.061189                
Group: Contacts_Count_12_mon*Education_L      7        0.061171                
Class: Contacts_Count_12_mon*Gender          13        0.061060                
Group: Contacts_Count_12_mon*Dependent_c      8        0.060616                
Class: Contacts_Count_12_mon*Marital_Sta     27        0.060484                
Group: Contacts_Count_12_mon*Gender           6        0.059995                
Group: Contacts_Count_12_mon*Marital_Sta      6        0.059796                
Class: Customer_Age*Total_Relationship_C    244        0.059398                
Class: Card_Category*Contacts_Count_12_m     24        0.058816                
Group: Customer_Age*Total_Relationship_C     11        0.058360                
Group: Card_Category*Contacts_Count_12_m      5        0.058072                
Class: Contacts_Count_12_mon                  6        0.057928                
Group: Contacts_Count_12_mon                  4        0.056798                
Class: Months_on_book*Total_Relationship    262        0.055598                
Group: Months_on_book*Total_Relationship     11        0.054493                
Class: Dependent_count*Months_Inactive_1     41        0.047352                
Group: Dependent_count*Months_Inactive_1      8        0.046603                
Class: Income_Category*Months_Inactive_1     41        0.043389                
Class: Education_Level*Months_Inactive_1     48        0.043207                
Group: Income_Category*Months_Inactive_1      7        0.042847                
Group: Education_Level*Months_Inactive_1      6        0.042394                
